Absent,غائب
Account,الحساب
Account Head,رأس الحساب
Accounting,المحاسبة
Accounting Details,تفاصيل المحاسبة
Accounting Dimensions,أبعاد المحاسبة
Accounts,الحسابات
Action,الإجراء
Actions,الإجراءات
Activities,الأنشطة
Activity Name,اسم النشاط
Actual Cost,التكلفة الفعلية
Actual Encashable Days,أيام الصرف الفعلية
Actual Overtime Duration,مدة العمل الإضافي الفعلية
Add Day-wise Dates,إضافة تواريخ يومية
Add Expense,إضافة مصروف
Add Tax,إضافة ضريبة
Add unused leaves from previous allocations,إضافة الإجازات غير المستخدمة من التخصيصات السابقة
Added On,تاريخ الإضافة
Additional Information,معلومات إضافية
Additional Salary,راتب إضافي
Address of Organizer,عنوان المنظم
Adjustment Type,نوع التسوية
Advance Account,حساب السلفة
Advance Amount,مبلغ السلفة
Advance Paid,السلفة المدفوعة
Advance Paid (Company Currency),السلفة المدفوعة (عملة الشركة)
Advance Payments,مدفوعات السلفة
Advanced Filters,فلاتر متقدمة
Advances,السلف
Allocate Based On Leave Policy,التخصيص بناءً على سياسة الإجازة
Allocate on Day,التخصيص في اليوم
Allocated Amount,المبلغ المخصص
Allocated Amount (Company Currency),المبلغ المخصص (عملة الشركة)
Allocated Leaves,الإجازات المخصصة
Allocated Via,مخصص عبر
Allocation,التخصيص
Allocation Date,تاريخ التخصيص
Allocation Details,تفاصيل التخصيص
Allocation to Adjust,التخصيص للتسوية
Allow Employee Checkin from Mobile App,السماح بتسجيل حضور الموظف من التطبيق
Allow Encashment,السماح بالصرف
Allow Geolocation Tracking,السماح بتتبع الموقع الجغرافي
Allow Leave Application After (Calendar Days),السماح بطلب إجازة بعد (أيام تقويمية)
Allow Multiple Shift Assignments for Same Date,السماح بتعيين ورديات متعددة لنفس التاريخ
Allow Negative Balance,السماح بالرصيد السالب
Allow Over Allocation,السماح بالتخصيص الزائد
Allow Overtime,السماح بالعمل الإضافي
Allow User,السماح للمستخدم
Allow Users,السماح للمستخدمين
Allow check-out after shift end time (in minutes),السماح بتسجيل الانصراف بعد وقت انتهاء الوردية (بالدقائق)
Amended From,معدل من
Amount,المبلغ
Amount (Company Currency),المبلغ (عملة الشركة)
Annual Allocation,التخصيص السنوي
Any other details,أي تفاصيل أخرى
Applicable For,قابل للتطبيق على
Applicable Salary Components,مكونات الراتب القابلة للتطبيق
Applicant Email Address,عنوان البريد الإلكتروني للمتقدم
Applicant Name,اسم المتقدم
Applicant Rating,تقييم المتقدم
Application Web Form Route,مسار نموذج الطلب الإلكتروني
Applies to Company,ينطبق على الشركة
Apply Filters,تطبيق الفلاتر
Apply for Public Holiday,تطبيق للعطلة الرسمية
